Sort Code,Master sort,Site ID,Sample replicate,Lab Code,DPN,qPCR Run,Well,Amplifiable DNA,qPCR Run,Well,Amplifiable DNA,Score,Frequency,qPCR Run,Well,ONKI,Score,Frequency,Converted Ct,Transformed Ct,Mean Transformed Ct,Transformed Ct StDev,Spacer,Assay Plate Run Controls,,,,,,,,,,,,,,,,,,
6,,"10kL Flow, Tank 20",3,20.10.3a,,,,,,,,,,020719LCB1G,G10,31.55,1,,31.55,18.451,,,20a,,,,,,eONKI4,080818JMR2H,E11,N/A,0,,,,,,,,,6
6,,"10kL Flow, Tank 20",3,20.10.3a,,,,,,,,,,020719LCB1G,H10,31.23,1,,31.23,18.771,,,20a,,,,,,eONKI4,080818JMR2H,F11,N/A,0,,,,,,,,,6
7,7,"10kL Flow, Tank 21",1,21.10.1a,4a,012919LCB1G,A04,18.14,,,,1, 4/4,012919LCB3F,A04,35.69,1,7/8,35.69,14.311,11.822,4.939,4a,,,,,,eONKI4,080818JMR2H,G11,N/A,0,,,,,,,,,6
7,,"10kL Flow, Tank 21",1,21.10.1a,,012919LCB1G,B04,17.82,,,,1,,012919LCB3F,B04,37.03,1,,37.03,12.971,,,4a,,,,,,eONKI4,080818JMR2H,H11,N/A,0,,,,,,,,,7
7,,"10kL Flow, Tank 21",1,21.10.1a,,012919LCB1G,C04,17.85,,,,1,,012919LCB3F,C04,N/A,0,,50,0.001,,,4a,,,,,,eONKI4,080818JMR2F,A11,N/A,0,0/8,,,,,,,,7
7,,"10kL Flow, Tank 21",1,21.10.1a,,012919LCB1G,D04,18.24,,,,1,,012919LCB3F,D04,36.55,1,,36.55,13.451,,,4a,,,,,,eONKI4,080818JMR2F,B11,N/A,0,,,,,,,,,7
7,,"10kL Flow, Tank 21",1,21.10.1a,,,,,,,,,,012919LCB3F,E04,34.88,1,,34.88,15.121,,,4a,,,,,,eONKI4,080818JMR2F,C11,N/A,0,,,,,,,,,7
7,,"10kL Flow, Tank 21",1,21.10.1a,,,,,,,,,,012919LCB3F,F04,35.03,1,,35.03,14.971,,,4a,,,,,,eONKI4,080818JMR2F,D11,N/A,0,,,,,,,,,7
7,,"10kL Flow, Tank 21",1,21.10.1a,,,,,,,,,,012919LCB3F,G04,38.03,1,,38.03,11.971,,,4a,,,,,,eONKI4,080818JMR2F,E11,N/A,0,,,,,,,,,7
7,,"10kL Flow, Tank 21",1,21.10.1a,,,,,,,,,,012919LCB3F,H04,38.22,1,,38.22,11.781,,,4a,,,,,,eONKI4,080818JMR2F,F11,N/A,0,,,,,,,,,7
8,8,"10kL Flow, Tank 21",2,21.10.2a,26a,012919LCB1F,A06,19.62,,,,1, 4/4,013019LCB1F,A06,34.78,1,8/8,34.78,15.221,15.435,0.365,26a,,,,,,eONKI4,080818JMR2F,G11,N/A,0,,,,,,,,,7
8,,"10kL Flow, Tank 21",2,21.10.2a,,012919LCB1F,B06,19.68,,,,1,,013019LCB1F,B06,33.97,1,,33.97,16.031,,,26a,,,,,,eONKI4,080818JMR2F,H11,N/A,0,,,,,,,,,8
8,,"10kL Flow, Tank 21",2,21.10.2a,,012919LCB1F,C06,19.39,,,,1,,013019LCB1F,C06,34.3,1,,34.3,15.701,,,26a,,,,,,eONKI4,080818JMR3G,A11,N/A,0,0/8,,,,,,,,8
