Sort Code,Site ID,Sample replicate,Lab Code,DPN,qPCR Run,Well,Amplifiable DNA,Score,Frequency,qPCR Run,Well,ONKI,Adjusted Ct  (N/A=50),Transformed Ct (50.001-Ct),Score,Frequency,Mean Transformed Ct,Transformed Ct StDev,Spacer,Assay Plate Run Controls,,,,,,,,,,,,,,,,,,
6,"1 Fish, Tank 20",1,01.20.1,,,,,,,072518JMR4H,G03,31.35,31.35,18.65,1,,,,113,eONKI4,072618JMR1H,B12,32.24,,ePlant5,072418JMR3G,F11,36.24,0,,,,,,,,,6
6,"1 Fish, Tank 20",1,01.20.1,,,,,,,072518JMR4H,H03,31.35,31.35,18.65,1,,,,113,eONKI4,072618JMR2F,A12,31.39,,ePlant5,072418JMR3G,G11,39.05,0,,,,,,,,,6
7,"1 Fish, Tank 20",2,01.20.2,87,072418JMR3F,A07,18.44,1, 4/4,072518JMR3H,A07,34.73,34.73,15.27,1,8/8,15.39,0.38,87,eONKI4,072618JMR2F,B12,31.3,,ePlant5,072418JMR3G,H11,37.57,0,,,,,,,,,7
7,"1 Fish, Tank 20",2,01.20.2,,072418JMR3F,B07,18.4,1,,072518JMR3H,B07,34.86,34.86,15.14,1,,,,87,eONKI4,072618JMR2G,A12,31.26,,ePlant5,072418JMR4F,A11,36.72,0,0/8,,,,,,,,7
7,"1 Fish, Tank 20",2,01.20.2,,072418JMR3F,C07,18.38,1,,072518JMR3H,C07,34.51,34.51,15.49,1,,,,87,eONKI4,072618JMR2G,B12,30.89,,ePlant5,072418JMR4F,B11,37.5,0,,,,,,,,,7
7,"1 Fish, Tank 20",2,01.20.2,,072418JMR3F,D07,18.56,1,,072518JMR3H,D07,34.3,34.3,15.70,1,,,,87,ePlant5,070519MJA1F,A12,27.23,,ePlant5,072418JMR4F,C11,37.24,0,,,,,,,,,7
7,"1 Fish, Tank 20",2,01.20.2,,,,,,,072518JMR3H,E07,34.1,34.1,15.90,1,,,,87,ePlant5,070519MJA1F,B12,27.38,,ePlant5,072418JMR4F,D11,37.88,0,,,,,,,,,7
7,"1 Fish, Tank 20",2,01.20.2,,,,,,,072518JMR3H,F07,34.65,34.65,15.35,1,,,,87,ePlant5,070519MJA1G,A08,27.10,,ePlant5,072418JMR4F,E11,38.05,0,,,,,,,,,7
7,"1 Fish, Tank 20",2,01.20.2,,,,,,,072518JMR3H,G07,35.42,35.42,14.58,1,,,,87,ePlant5,070519MJA1G,B08,26.89,,ePlant5,072418JMR4F,F11,37.18,0,,,,,,,,,7
7,"1 Fish, Tank 20",2,01.20.2,,,,,,,072518JMR3H,H07,34.34,34.34,15.66,1,,,,87,eONKI4,070519MJA1G,A12,34.15,,ePlant5,072418JMR4F,G11,38.66,0,,,,,,,,,7
8,"1 Fish, Tank 20",3,01.20.3,84,072418JMR3F,A04,17.02,1, 4/4,072518JMR3H,A04,35.07,35.07,14.93,1,8/8,15.19,0.47,84,eONKI4,070519MJA1G,B12,35.82,,ePlant5,072418JMR4F,H11,38.16,0,,,,,,,,,8
8,"1 Fish, Tank 20",3,01.20.3,,072418JMR3F,B04,16.91,1,,072518JMR3H,B04,35.1,35.1,14.90,1,,,,84,eONKI4,070819MJA1F,A12,34.58,,ePlant5,072418JMR4G,A11,36.8,0,0/8,,,,,,,,8
8,"1 Fish, Tank 20",3,01.20.3,,072418JMR3F,C04,16.94,1,,072518JMR3H,C04,34.11,34.11,15.89,1,,,,84,eONKI4,070819MJA1F,B12,34.36,,ePlant5,072418JMR4G,B11,37.56,0,,,,,,,,,8
8,"1 Fish, Tank 20",3,01.20.3,,072418JMR3F,D04,17.07,1,,072518JMR3H,D04,34.47,34.47,15.53,1,,,,84,eONKI4,070819MJA1G,A12,34.36,,ePlant5,072418JMR4G,C11,37.01,0,,,,,,,,,8
8,"1 Fish, Tank 20",3,01.20.3,,,,,,,072518JMR3H,E04,35.14,35.14,14.86,1,,,,84,eONKI4,070819MJA1G,B12,33.48,,ePlant5,072418JMR4G,D11,36.37,0,,,,,,,,,8
8,"1 Fish, Tank 20",3,01.20.3,,,,,,,072518JMR3H,F04,34.97,34.97,15.03,1,,,,84,eONKI4,070819MJA1H,A12,34.1,,ePlant5,072418JMR4G,E11,36.58,0,,,,,,,,,8
8,"1 Fish, Tank 20",3,01.20.3,,,,,,,072518JMR3H,G04,34.18,34.18,15.82,1,,,,84,eONKI4,070819MJA1H,B12,34.61,,ePlant5,072418JMR4G,F11,36.06,0,,,,,,,,,8
8,"1 Fish, Tank 20",3,01.20.3,,,,,,,072518JMR3H,H04,35.48,35.48,14.52,1,,,,84,,,,,,ePlant5,072418JMR4G,G11,37.04,0,,,,,,,,,8
9,"1 Fish, Tank 20",4,01.20.4,48,072418JMR2F,A08,16.15,1, 4/4,072518JMR2G,A08,33.26,33.26,16.74,1,8/8,16.82,0.26,48,,,,,,ePlant5,072418JMR4G,H11,41.59,0,,,,,,,,,9
9,"1 Fish, Tank 20",4,01.20.4,,072418JMR2F,B08,15.93,1,,072518JMR2G,B08,33.28,33.28,16.72,1,,,,48,,,,,,eONKI4,072518JMR1F,A11,N/A,0,0/8,,,,,,,,9
9,"1 Fish, Tank 20",4,01.20.4,,072418JMR2F,C08,15.93,1,,072518JMR2G,C08,32.74,32.74,17.26,1,,,,48,,,,,,eONKI4,072518JMR1F,B11,N/A,0,,,,,,,,,9
9,"1 Fish, Tank 20",4,01.20.4,,072418JMR2F,D08,16,1,,072518JMR2G,D08,33.47,33.47,16.53,1,,,,48,,,,,,eONKI4,072518JMR1F,C11,N/A,0,,,,,,,,,9
9,"1 Fish, Tank 20",4,01.20.4,,,,,,,072518JMR2G,E08,32.83,32.83,17.17,1,,,,48,,,,,,eONKI4,072518JMR1F,D11,N/A,0,,,,,,,,,9
9,"1 Fish, Tank 20",4,01.20.4,,,,,,,072518JMR2G,F08,33.22,33.22,16.78,1,,,,48,,,,,,eONKI4,072518JMR1F,E11,N/A,0,,,,,,,,,9
9,"1 Fish, Tank 20",4,01.20.4,,,,,,,072518JMR2G,G08,33.15,33.15,16.85,1,,,,48,,,,,,eONKI4,072518JMR1F,F11,N/A,0,,,,,,,,,9
9,"1 Fish, Tank 20",4,01.20.4,,,,,,,072518JMR2G,H08,33.53,33.53,16.47,1,,,,48,,,,,,eONKI4,072518JMR1F,G11,N/A,0,,,,,,,,,9
10,"1 Fish, Tank 20",5,01.20.5,34,072418JMR1G,E04,16.66,1, 4/4,072518JMR2F,A04,33.73,33.73,16.27,1,8/8,16.34,0.34,34,,,,,,eONKI4,072518JMR1F,H11,N/A,0,,,,,,,,,10
